timestamp,sleep_log_entry_id,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness
2019-11-02T07:40:00Z,24490223982,65,17,13,35,59,60,0.08774038461538461
2019-11-06T07:29:30Z,24533606348,86,22,22,42,107,61,0.06735751295336788
2019-11-07T07:26:00Z,24559972015,79,19,22,38,67,59,0.0897571277719113
2019-11-08T07:25:00Z,24559972016,80,20,21,39,80,58,0.07142857142857142
2019-11-12T04:00:30Z,24604252564,70,19,22,29,22,57,0.05783132530120482
2019-11-13T08:11:30Z,24624621242,80,21,21,38,66,56,0.06375
2019-11-14T08:10:30Z,24630940989,76,16,18,42,65,55,0.0612668743509865
2019-11-16T08:49:30Z,24654476587,79,20,18,41,65,56,0.07267144319344933
2019-12-20T05:32:00Z,25149355672,69,21,14,34,74,60,0.06676342525399129
2019-12-21T05:51:30Z,25149355673,59,17,16,26,79,59,0.05901639344262295
2019-12-21T23:38:30Z,25149355674,59,19,17,23,34,59,0.1347517730496454
2019-12-22T06:45:30Z,25149355675,56,15,21,20,41,59,0.06832298136645963
2019-12-23T06:37:30Z,25149355676,73,17,18,38,41,58,0.0583232077764277
2019-12-24T06:47:30Z,25149355677,76,19,22,35,62,58,0.08468244084682441
2019-12-25T07:51:00Z,25149355678,71,16,20,35,45,58,0.07204968944099378
2019-12-28T07:12:30Z,25173794790,62,16,20,26,41,57,0.0736
2019-12-29T09:01:00Z,25186719334,80,19,15,46,97,57,0.05774518790100825
2019-12-30T07:28:30Z,25199491746,71,17,21,33,59,58,0.0728476821192053
2019-12-31T07:54:00Z,25215074096,71,20,15,36,84,57,0.0884109916367981
2020-01-01T09:53:30Z,25228216350,82,21,20,41,80,57,0.07523510971786834
2020-01-02T10:10:30Z,25242381570,82,19,23,40,55,56,0.05616850551654965
2020-01-04T09:56:00Z,25317419699,82,22,18,42,94,55,0.06482465462274177
2020-01-06T07:00:30Z,25317419701,75,19,16,40,84,55,0.06673407482305359
2020-01-07T07:32:00Z,25317419702,75,22,14,39,89,56,0.050920910075839654
2020-01-08T07:12:00Z,25335384187,75,17,22,36,72,58,0.06909547738693467
2020-01-09T07:50:00Z,25355291573,80,17,21,42,69,56,0.05741127348643006
2020-01-10T08:58:30Z,25373846429,87,24,19,44,129,57,0.08185654008438818
2020-01-11T10:39:00Z,25389450043,87,20,22,45,120,58,0.0785296574770259
2020-01-13T06:37:00Z,25412819392,81,20,23,38,41,58,0.058343057176196034
2020-01-14T08:12:30Z,25518354324,83,21,23,39,78,57,0.057757644394110984
2020-01-15T08:02:00Z,25518354325,76,20,18,38,65,56,0.04332129963898917
2020-01-16T07:49:00Z,25518354326,78,19,23,36,50,57,0.06469920544835414
2020-01-17T07:19:00Z,25518354327,85,21,22,42,69,58,0.06183368869936034
2020-01-18T08:34:30Z,25518354328,79,17,23,39,54,57,0.05339265850945495
2020-01-19T09:28:00Z,25518354329,80,17,21,42,53,56,0.0647342995169082
2020-01-20T06:24:00Z,25517978451,77,17,24,36,76,56,0.044733044733044736
2020-01-21T03:18:30Z,25533571518,69,20,22,27,31,53,0.04449648711943794
2020-01-22T07:45:00Z,25550742027,73,18,20,35,56,53,0.05569948186528497
2020-01-23T07:35:30Z,25563505527,75,17,22,36,83,53,0.07804878048780488
2020-01-25T09:42:30Z,25699777733,66,19,21,26,33,53,0.09523809523809523
2020-01-26T09:24:30Z,25699777734,81,21,22,38,84,53,0.07781282860147214
2020-01-28T04:48:30Z,25699777735,62,17,11,34,64,54,0.11397557666214382
2020-01-29T06:48:00Z,25699777736,76,21,18,37,50,54,0.06312292358803986
2020-01-30T06:39:00Z,25699777738,72,17,22,33,58,55,0.04552129221732746
2020-01-31T06:17:30Z,25699777739,71,16,20,35,76,56,0.052
2020-02-01T09:22:30Z,25711302809,82,17,21,44,71,58,0.046413502109704644
2020-02-02T08:57:30Z,25723818906,75,18,23,34,81,58,0.0784313725490196
2020-02-03T06:17:30Z,25783721924,67,19,20,28,90,57,0.13526570048309178
2020-02-04T05:58:30Z,25783721925,72,17,22,33,55,56,0.09051254089422028
2020-02-05T06:20:30Z,25783721926,81,17,23,41,66,56,0.07084188911704312
2020-02-06T06:45:00Z,25783721927,82,20,21,41,59,56,0.07612781954887218
2020-02-07T05:04:00Z,25797208763,70,21,16,33,53,55,0.07566938300349244
2020-02-09T08:12:00Z,25901485613,84,20,24,40,64,58,0.0518018018018018
2020-02-10T06:11:00Z,25901485614,78,17,24,37,62,58,0.06952491309385864
2020-02-11T06:11:00Z,25901485615,81,21,23,37,86,57,0.06866002214839424
2020-02-12T06:29:00Z,25901485616,71,15,24,32,37,56,0.05761843790012804
2020-02-13T07:50:30Z,25901485617,79,20,21,38,111,56,0.0758082497212932
2020-02-15T07:18:00Z,25981065830,68,17,13,38,77,54,0.07485380116959064
2020-02-16T09:11:30Z,25981065831,82,21,19,42,68,54,0.06794055201698514
2020-02-18T06:28:30Z,25981065833,77,19,20,38,58,54,0.04778972520908005
2020-02-19T08:18:00Z,25981065834,76,17,20,39,94,55,0.04503464203233257
2020-02-21T08:12:30Z,26003278888,74,19,21,34,42,55,0.0903387703889586
2020-02-27T07:28:00Z,26176058395,72,17,19,36,59,55,0.07623888182973317
2020-03-05T06:33:30Z,26189392113,69,21,18,30,45,56,0.10401188707280833
2020-03-06T08:19:30Z,26205999431,82,21,20,41,54,56,0.05103042198233562
2020-03-07T09:22:30Z,26219086089,84,21,21,42,80,56,0.05641025641025641
2020-03-08T09:41:00Z,26232590156,84,19,22,43,36,55,0.06713426853707415
2020-03-09T08:00:30Z,26246001563,75,17,22,36,64,55,0.08284023668639054
2020-03-22T06:36:00Z,26509000922,73,22,20,31,88,53,0.07173601147776183
2020-03-23T06:51:00Z,26509000923,67,18,16,33,26,53,0.059334298118668596
2020-03-24T07:31:30Z,26509000924,79,21,19,39,69,54,0.05587892898719441
2020-03-26T08:03:30Z,26509000925,72,20,16,36,95,55,0.06161745827984596
2020-03-29T08:25:30Z,26516780913,77,20,21,36,68,59,0.041474654377880185
2020-03-30T07:52:30Z,26529030635,73,18,21,34,73,59,0.09153952843273232
